time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,OGM_dop,OGM_pop,PHS_frp_ads,PHS_frp
2011-12-17 00:00:00,2.97,0,2.3,583.3333,58.33333,54.573,545.7302,47.6794,54.573,0.593229,0.20641327,1.5211,0.72145773
2011-12-18 00:00:00,2.57,0,1,583.3333,58.33333,54.5866,545.866,47.6864,54.5866,0.592527,0.20616901,1.5193,0.72060399
2011-12-19 00:00:00,3.55,0,1,583.3333,58.33333,55.9388,559.3875,45.1659,55.9388,0.575913,0.20038819,1.4767,0.70039881
2011-12-20 00:00:00,2.75,0,2.3,583.3333,58.33333,57.6409,576.4092,42.252,57.6409,0.556413,0.19360319,1.4267,0.67668381
2011-12-21 00:00:00,2.91,0,1,583.3333,58.33333,59.2016,592.016,39.8166,59.2016,0.539604,0.18775452,1.3836,0.65624148
2011-12-22 00:00:00,3.19,0,4.8,583.3333,58.33333,60.5007,605.0068,37.9464,60.5007,0.526344,0.18314072,1.3496,0.64011528
2011-12-23 00:00:00,2.37,0,4.2,583.3333,58.33333,62.5833,625.833,35.1901,62.5833,0.506493,0.17623359,1.2987,0.61597341
2011-12-24 00:00:00,2.64,0,1,583.3333,58.33333,64.5776,645.7756,32.8159,64.5776,0.488865,0.17009995,1.2535,0.59453505
2011-12-25 00:00:00,3.1,0,1,583.3333,58.33333,66.3947,663.9465,30.8518,66.3947,0.473811,0.16486193,1.2149,0.57622707
2011-12-26 00:00:00,1.58,0,1,583.3333,58.33333,67.9951,679.9513,29.2625,67.9951,0.461331,0.16051953,1.1829,0.56104947
2011-12-27 00:00:00,3.97,0,1,583.3333,58.33333,70.0085,700.085,27.4222,70.0085,0.44655,0.1553765,1.145,0.5430735
2011-12-28 00:00:00,2.26,0,4,583.3333,58.33333,72.0397,720.3965,25.731,72.0397,0.4325685,0.150511655,1.10915,0.526069845
2011-12-29 00:00:00,2.94,0,1,583.3333,58.33333,74.0165,740.165,24.2271,74.0165,0.419835,0.14608105,1.0765,0.51058395
2011-12-30 00:00:00,2.87,0,1,583.3333,58.33333,73.8656,738.6556,24.3548,73.8656,0.421161,0.14654243,1.0799,0.51219657
2011-12-31 00:00:00,2.27,0,1.2,583.3333,58.33333,72.0237,720.2371,25.7953,72.0237,0.4337775,0.150932325,1.11225,0.527540175
2012-01-01 00:00:00,2.31,0,2.4,583.3333,58.33333,69.1561,691.5611,28.2823,69.1561,0.45474,0.1582262,1.166,0.5530338
2012-01-02 00:00:00,2.82,0,3.8,583.3333,58.33333,71.3121,713.1214,26.4123,71.3121,0.439764,0.15301532,1.1276,0.53482068
2012-01-03 00:00:00,2.06,0,1,583.3333,58.33333,72.7167,727.1675,25.2947,72.7167,0.430794,0.14989422,1.1046,0.52391178
